location_number,scientific_name,kingdom,clade1,clade2,clade3,clade4,clade5,order,family,subfamily,supertribe,tribe,subtribe,genus,species,common_name_en,common_name_other,photo_id,nativity,country_all,habitat,connections,naturalized,invasive,invasive_loc,medicinal,food,textile,dye,evolved,cultivated,cultivation_info,botanist_name,botanist_lifetime,botanist_bio,imperialism,pop_culture,conservation_status,conservation_why,life_cycle,gardening,gardening_howto,source_video,source_peerreview,source_class,source_other,source_human,collecter
2015,"Lippia dulcis, syn Phyla dulcis",,Tracheophytes,Angiosperms,Eudicots,Asterids,,Lamiales,Verbenaceae,,,,,,,"hierba dulce, and tzopelic-xihuitl (Nahuatl)","bushy lippia, honeyherb, Aztec Sweet Herb",1zgxOKnZhKQ3fGLGHjNonAle9VJKRFdRI,"Mexico to Colombia, Carribbean",,,,,,,"Traditionally used to treat coughs, asthma, and bronchitis (expectorant). Very long literary history. ","Noted for sweet taste (contains hernandulcin, a very sweet sesquiterpenoid), but does not apprear to have been refinied or processed as a sweetener. Also contains high concentration of camphor, and so should not be eaten in large quantities, though some sources mention chewing the leaves or adding them to salads. ",,,,No,,,,,,,,,tender P,No,,,"https://pubmed.ncbi.nlm.nih.gov/3520154/, https://pubmed.ncbi.nlm.nih.gov/3880922/",,,,
2015,Amaranthus hybridus,,Tracheophytes,Angiosperms,Eudicots,,,Eudicots,Amaranthaceae,,,,,,,Prince’s plume/feathers (also refers to A. hypochondriacus),"Green amaranth, red amaranth, smooth pigweed",1nsKEb30va5H6erV7NdgkUvdap_wMuh1R,Tropical Americas,,,,,,,,,,,,No,,,,,,,,,A,No,,,,,,,
4012,Ipomoea tricolor,,,,,,,,Convolvulaceae,,,,,,,Grannyvine morning glory,,1_bo5kqkdtXAepdwC8iFrM93-UvszlOIz,Tropical Americas,,,,,,,,,,,,No,,,,,,,,,A (PV),No,,,,,,,
4024,Stevia eupatoria,,,,,,,,Compositae,,,,,,,soapa,,,S. C. Mexico,,,,,,,,,,,,No,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DT,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ET,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P (B),No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P (S),No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E subS,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E tree,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P (vine),No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DT,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECT,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ET,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,ROGER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tender Perenial V,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B/P,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS,No,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS,No,,,,,,,
